날짜,경유가격
2024-04-14,1558
2024-04-15,1560
2024-04-16,1562
2024-04-17,1564
2024-04-18,1565
2024-04-19,1566
2024-04-20,1566
2024-04-21,1566
2024-04-22,1566
2024-04-23,1566
2024-04-24,1566
2024-04-25,1566
2024-04-26,1566
2024-04-27,1566
2024-04-28,1566
2024-04-29,1566
2024-04-30,1566
2024-05-01,1565
2024-05-02,1565
2024-05-03,1564
2024-05-04,1563
2024-05-05,1562
2024-05-06,1562
2024-05-07,1561
2024-05-08,1559
2024-05-09,1557
2024-05-10,1555
2024-05-11,1552
2024-05-12,1551
2024-05-13,1549
2024-05-14,1546
2024-05-15,1543
2024-05-16,1541
2024-05-17,1539
2024-05-18,1535
2024-05-19,1534
2024-05-20,1532
2024-05-21,1529
2024-05-22,1526
2024-05-23,1523
2024-05-24,1520
2024-05-25,1517
2024-05-26,1516
2024-05-27,1514
2024-05-28,1511
2024-05-29,1509
2024-05-30,1507
2024-05-31,1505
2024-06-01,1502
2024-06-02,1501
2024-06-03,1500
2024-06-04,1497
2024-06-05,1495
2024-06-06,1492
2024-06-07,1490
2024-06-08,1488
2024-06-09,1487
2024-06-10,1486
2024-06-11,1483
2024-06-12,1481
2024-06-13,1480
2024-06-14,1479
2024-06-15,1478
2024-06-16,1478
2024-06-17,1477
2024-06-18,1477
2024-06-19,1478
2024-06-20,1478
2024-06-21,1479
2024-06-22,1480
2024-06-23,1481
2024-06-24,1483
2024-06-25,1486
2024-06-26,1488
2024-06-27,1491
2024-06-28,1495
2024-06-29,1499
2024-06-30,1502
2024-07-01,1511
2024-07-02,1516
2024-07-03,1519
2024-07-04,1524
2024-07-05,1528
2024-07-06,1532
2024-07-07,1534
2024-07-08,1538
2024-07-09,1541
2024-07-10,1543
2024-07-11,1544
2024-07-12,1546
2024-07-13,1546
2024-07-14,1547
2024-07-15,1548
2024-07-16,1548
2024-07-17,1549
2024-07-18,1549
2024-07-19,1550
2024-07-20,1549
2024-07-21,1549
2024-07-22,1550
2024-07-23,1550
2024-07-24,1550
2024-07-25,1549
2024-07-26,1549
2024-07-27,1548
2024-07-28,1548
2024-07-29,1549
2024-07-30,1548
2024-07-31,1547
2024-08-01,1547
2024-08-02,1546
2024-08-03,1546
2024-08-04,1545
2024-08-05,1545
2024-08-06,1544
2024-08-07,1542
2024-08-08,1541
2024-08-09,1539
2024-08-10,1537
2024-08-11,1537
2024-08-12,1536
2024-08-13,1534
2024-08-14,1533
2024-08-15,1532
2024-08-16,1531
2024-08-17,1530
2024-08-18,1530
2024-08-19,1529
2024-08-20,1527
2024-08-21,1524
2024-08-22,1521
2024-08-23,1517
2024-08-24,1515
2024-08-25,1514
2024-08-26,1512
2024-08-27,1510
2024-08-28,1508
2024-08-29,1506
2024-08-30,1503
2024-08-31,1501
2024-09-01,1500
2024-09-02,1498
2024-09-03,1496
2024-09-04,1493
2024-09-05,1489
2024-09-06,1486
2024-09-07,1482
2024-09-08,1481
2024-09-09,1478
2024-09-10,1473
2024-09-11,1468
2024-09-12,1463
2024-09-13,1459
2024-09-14,1455
2024-09-15,1454
2024-09-16,1452
2024-09-17,1451
2024-09-18,1450
2024-09-19,1447
2024-09-20,1444
2024-09-21,1441
2024-09-22,1440
2024-09-23,1438
2024-09-24,1435
2024-09-25,1432
