날짜,평균기온
2024-05-05,20.4
2024-05-06,17.4
2024-05-07,13.7
2024-05-08,13.4
2024-05-09,17.05
2024-05-10,19.9
2024-05-11,20.75
2024-05-12,18.1
2024-05-13,18.0
2024-05-14,20.45
2024-05-15,15.05
2024-05-16,14.4
2024-05-17,19.7
2024-05-18,23.15
2024-05-19,20.1
2024-05-20,17.35
2024-05-21,17.45
2024-05-22,20.9
2024-05-23,24.25
2024-05-24,18.85
2024-05-25,18.95
2024-05-26,20.3
2024-05-27,20.7
2024-05-28,18.6
2024-05-29,21.45
2024-05-30,20.55
2024-05-31,20.3
2024-06-01,18.05
2024-06-02,18.05
2024-06-03,18.6
2024-06-04,19.8
2024-06-05,20.05
2024-06-06,21.25
2024-06-07,22.1
2024-06-08,20.75
2024-06-09,23.45
2024-06-10,24.8
2024-06-11,25.85
